name,safe_name,lat,lon
Milan Hospital,milan_hospital,40.4101142,49.8618043
LOR Hospital,lor_hospital,40.4094223,49.863023
Oksigen Klinikası,oksigen_klinikası,40.4035779,49.8699759
West Hospital,west_hospital,40.4248344,49.8469054
Ortopedik Bərpaetmə Mərkəzi \ Günəşli,ortopedik_bərpaetmə_mərkəzi_günəşli,40.39331,49.963755
Caspian International Hospital,caspian_international_hospital,40.3433956,49.8099276
Modul Tipli Xəstəxana COVID Zığ şossesi,modul_tipli_xəstəxana_covid_zığ_şossesi,40.3626466,49.9381118
Universal Hospital \ 8 mkr,universal_hospital_8_mkr,40.4187424,49.8457177
Silahlı Quvvələrin Baş Klinik Hospitalı,silahlı_quvvələrin_baş_klinik_hospitalı,40.4022621,49.8218715
Respublika Uşaq Kliniki Xestexanası,respublika_uşaq_kliniki_xestexanası,40.4020177,49.8057068
Milli Sağlamlıq Mərkəzi,milli_sağlamlıq_mərkəzi,40.4112445,49.900003
Bərpa Tibb Mərkəzi \ Nobel \ 8 Noyabr pr.,bərpa_tibb_mərkəzi_nobel_8_noyabr_pr,40.3685639,49.9346986
32 saylı Xəstəxana / Keşlə,32_saylı_xəstəxana_keşlə,40.3964692,49.8946016
18 Saylı Birləşmiş Şəhər Xəstəxanası,18_saylı_birləşmiş_şəhər_xəstəxanası,40.412813,49.9372239
5 saylı Uşaq İnfeksion Xəstəxanası \ Bakıxanov,5_saylı_uşaq_i_nfeksion_xəstəxanası_bakıxanov,40.4260902,49.9622838
Respublika Neyrocərrahiyyə Xəstəxanası,respublika_neyrocərrahiyyə_xəstəxanası,40.37209,49.9418722
Məhkəmə Tibbi Ekspertiza \ Həzi Aslanov,məhkəmə_tibbi_ekspertiza_həzi_aslanov,40.3762287,49.952032
Taun Əleyhinə Stansiya,taun_əleyhinə_stansiya,40.4210124,49.9421451
6 saylı Vərəm Dispanseri \ Zığ,6_saylı_vərəm_dispanseri_zığ,40.370961,49.9906294
6 saylı Uşaq Uroloji Sanatoriyası \ Əhmədli,6_saylı_uşaq_uroloji_sanatoriyası_əhmədli,40.3768843,49.9640689
4 saylı Uşaq Vərəm Sanatoriyası \ Əhmədli,4_saylı_uşaq_vərəm_sanatoriyası_əhmədli,40.3740308,49.9554023
Tuberkuloz Dispanseri \ UPD Keşlə,tuberkuloz_dispanseri_upd_keşlə,40.3853405,49.904041
"Azərsutikinti xəstəxanası,",azərsutikinti_xəstəxanası,40.3983535,49.9666719
Topçubaşov Cərrahiyyə Mərkəzi \ Bakı,topçubaşov_cərrahiyyə_mərkəzi_bakı,40.3956241,49.8043303
